artPieceName,artPieceHistory,currentValuation,onDisplay
"Starry Night","Created by Vincent van Gogh in June 1889, during his stay at the Saint-Paul-de-Mausole asylum. The legendary night sky was inspired by the view from his asylum room window, stylized through memory and emotion. The swirling patterns reflect both astronomical phenomena and the artist's internal turmoil.",100000000,true
"Water Lilies (Nymphéas)","Part of Claude Monet's famous Water Lilies series, painted between 1920-1926. Created in his garden at Giverny, these large-scale works represent the culmination of his artistic vision. The series captures changing light effects on his water garden throughout different times of day.",84000000,true
"Rosetta Stone","Ancient Egyptian granodiorite stele inscribed with three versions of a decree issued in Memphis in 196 BC. Discovery in 1799 led to the breakthrough in understanding hieroglyphic writing. The text appears in hieroglyphic, Demotic script, and ancient Greek.",150000000,false
"Mona Lisa","Painted by Leonardo da Vinci in the early 16th century. Widely considered an archetype of the Renaissance portrait, famous for its subject's enigmatic expression. Housed at the Louvre in Paris.",860000000,true
"Girl with a Pearl Earring","Painted by Johannes Vermeer circa 1665. Sometimes called the 'Mona Lisa of the North,' renowned for its subtle use of light and the mysterious subject’s expression. Located at the Mauritshuis in The Hague.",120000000,true
"The Persistence of Memory","Surrealist painting by Salvador Dalí, completed in 1931. Features melting clocks in a dream-like landscape, symbolizing the fluidity of time.",70000000,false
"The Scream","Expressionist masterpiece by Edvard Munch, created in 1893. Depicts a figure against a fiery sky, capturing anxiety and existential dread.",120000000,true
"American Gothic","Painted by Grant Wood in 1930, iconic for its portrayal of a farmer and his daughter. Often referenced and parodied in pop culture.",65000000,false
"Guernica","Pablo Picasso’s mural-sized 1937 painting. A powerful anti-war statement created in response to the bombing of Guernica during the Spanish Civil War.",200000000,true
"Nighthawks","Edward Hopper’s 1942 depiction of a late-night diner. The scene highlights urban isolation through stark lighting and detached figures.",95000000,false
"The Kiss","Gustav Klimt’s famous symbolist painting from 1907–1908, emblematic of the Viennese Art Nouveau movement. Renowned for its gold leaf accents.",150000000,true
"Sunflowers","A series of still-life paintings by Vincent van Gogh, created to decorate the Yellow House in Arles. Celebrated for bold color and brushwork.",100000000,true
"The Birth of Venus","Sandro Botticelli’s mythological painting from the mid-1480s, depicting the goddess Venus emerging from the sea. A landmark of the Italian Renaissance.",200000000,false
"Liberty Leading the People","Eugène Delacroix’s 1830 painting commemorating the July Revolution in France. Symbolizes the spirit of revolution and the fight for freedom.",85000000,true
"The Night Watch","Rembrandt’s 1642 group portrait of a city militia. Praised for its dramatic use of light, shadow, and movement.",180000000,false
"A Sunday on La Grande Jatte","Georges Seurat’s 1884-1886 pointillist masterpiece, capturing Parisian leisure on an island in the Seine. Known for pioneering Neo-Impressionism.",120000000,true
"Las Meninas","Diego Velázquez’s 1656 painting of the Spanish royal family. Noted for its complex composition and the painter’s self-portrait within.",300000000,false
"Venus de Milo","Ancient Greek sculpture attributed to Alexandros of Antioch, created around 150 BC. Famous for its missing arms and idealized form.",20000000,false
"David (Michelangelo)","Renaissance sculpture completed between 1501 and 1504. Represents the biblical hero David, celebrated for its anatomical precision.",450000000,true
"Michelangelo’s Pietà","Sculpted by Michelangelo in 1498–1499, housed in St. Peter’s Basilica in Vatican City. Depicts the Virgin Mary cradling the body of Jesus.",400000000,false
"The Garden of Earthly Delights","Triptych oil painting by Hieronymus Bosch, created around 1490–1510. Depicts paradise, earthly temptations, and hell.",300000000,true
"Arnolfini Portrait","Jan van Eyck’s 1434 painting, celebrated for its advanced oil techniques and rich symbolism. Often noted for its detailed reflection in a mirror.",210000000,true
"Christina’s World","Andrew Wyeth’s 1948 painting of a woman in a field. Evokes introspection and quiet struggle, set in rural Maine.",5000000,false
"No. 5, 1948","Abstract Expressionist piece by Jackson Pollock. Famous for his drip technique, swirling lines, and splattered paint creating a dynamic composition.",165000000,true
"Impression, Sunrise","Claude Monet’s 1872 painting credited with inspiring the term 'Impressionism.' Depicts a harbor scene at sunrise with loose brushwork.",85000000,false
"The Third of May 1808","Francisco Goya’s 1814 memorialization of Spanish resistance to Napoleon’s armies. Noted for its raw emotional portrayal of war's horrors.",145000000,true
"Bal du moulin de la Galette","Pierre-Auguste Renoir’s 1876 impressionist painting. Celebrates a lively Sunday afternoon dance at a Parisian district.",140000000,false
