name,description,averageRating,openNow
"Red Fork","rustic Lebanese restaurant featuring hand-painted murals and rooftop seating. Offering authentic dishes in a rustic setting.",4,true
"Green Fork","upscale Mexican restaurant featuring vintage decor and live music. Offering authentic dishes in a upscale setting.",5,true
"Wild Plate","vibrant French restaurant featuring open kitchen concept and waterfront views. Offering authentic dishes in a vibrant setting.",5,true
"Urban Plate","contemporary French restaurant featuring minimalist design and live music. Offering authentic dishes in a contemporary setting.",4,true
"Casa Spoon","trendy Thai restaurant featuring terrace dining and chef's tasting menu. Offering authentic dishes in a trendy setting.",4,true
"La Royal Plate","rustic American restaurant featuring warm wood finishes and wine selection. Offering authentic dishes in a rustic setting.",5,true
"The Green Plate","traditional Vietnamese restaurant featuring vintage decor and rooftop seating. Offering authentic dishes in a traditional setting.",5,true
"Green House","charming Greek restaurant featuring hand-painted murals and craft cocktails. Offering authentic dishes in a charming setting.",5,true
"Le Fork","rustic Spanish restaurant featuring ornate chandeliers and craft cocktails. Offering authentic dishes in a rustic setting.",5,true
"Le Green Table","rustic Thai restaurant featuring floor-to-ceiling windows and artisanal coffee. Offering authentic dishes in a rustic setting.",4,true
"Urban Garden","trendy Brazilian restaurant featuring warm wood finishes and private dining rooms. Offering authentic dishes in a trendy setting.",4,true
"Red Plate","traditional Indian restaurant featuring industrial accents and house-made desserts. Offering authentic dishes in a traditional setting.",5,true
"La Green Room","contemporary Spanish restaurant featuring vintage decor and vegan options. Offering authentic dishes in a contemporary setting.",4,true
"Casa Kitchen","cozy Brazilian restaurant featuring floor-to-ceiling windows and artisanal coffee. Offering authentic dishes in a cozy setting.",4,false
"Blue House","rustic Greek restaurant featuring vintage decor and private dining rooms. Offering authentic dishes in a rustic setting.",4,true
"La Garden","sleek French restaurant featuring garden seating and private dining rooms. Offering authentic dishes in a sleek setting.",4,true
"Silver Plate","charming Mediterranean restaurant featuring open kitchen concept and wine selection. Offering authentic dishes in a charming setting.",4,true
"Red Garden","trendy Mexican restaurant featuring local artwork and artisanal coffee. Offering authentic dishes in a trendy setting.",5,true
"The Silver Fork","rustic Spanish restaurant featuring local artwork and vegan options. Offering authentic dishes in a rustic setting.",4,true
"Chez Green Room","charming Greek restaurant featuring open kitchen concept and artisanal coffee. Offering authentic dishes in a charming setting.",4,true
